id,weight,VAR00002,QUDAOID,data100ID,S1,S2_1#0,S2_1#1,Tier,SetTier,S2x2,HS2a,SetHS2a,HS2b,SetHS2b,HS2c,SetH2c,CityScreen,SetCityScreen,S2A,ZS2A,S2B,ZS2B,S3_1#0,S3_1#1,HS3,ZS3,S4,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,HS5,ZS5,S6,S7_1,S7_2,S7_3,S7_4,S7_5,S7_6,S7_7,S7_8,S7_other,HS7,ZS7,S8,S9_1,S9_2,S9_3,S9_4,S9_5,S9_6,S9_7,S9_8,S9_9,S9_10,S9_11,S9_12,S9_13,S9_14,S9_15,S9_16,S9_other,S10_1,S10_2,S10_3,S10_4,S10_5,S10_6,S10_7,S10_8,S10_9,S10_10,HS10,ZS10,S11,S11_other,HS11,ZS11,S12,A1,A2_1,A2_2,A2_3,ZA3A,A1V,A2_1V,A2_2V,A2_3V,A3A_1,A3A_2,A3A_3,A3A_4,A3A_5,A3A_6,A3A_7,A3A_8,A3A_9,A3A_10,A3A_11,A3A_12,A3A_13,A3A_14,A3A_15,A3A_16,A3A_17,A3A_18,A3A_19,A3A_20,A3A_other,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,A3_10,A3_11,A3_12,A3_13,A3_14,A3_15,A3_16,A3_17,A3_18,A3_19,A3_20,A3_other,ZA3,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A4_10,A4_11,A4_12,A4_13,A4_14,A4_15,A4_16,A4_17,A4_18,A4_19,A4_20,A4_other,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A5_8,A5_9,A5_10,A5_11,A5_12,A5_13,A5_14,A5_15,A5_16,A5_17,A5_18,A5_19,A5_20,A5_other,A6,B6_1_1,B6_1_2,B6_1_3,B6_1_4,B6_1_5,B6_1_6,B6_1_7,B6_1_8,B6_1_9,B6_1_10,B6_1_11,B6_1_12,B6_1_13,B6_1_14,B6_1_15,B6_1_16,B6_1_17,B6_1_18,B6_1_19,B6_1_20,B6_1_21,B6_1_22,B6_1_23,B6_1_24,B6_1_25,B6_2_1,B6_2_2,B6_2_3,B6_2_4,B6_2_5,B6_2_6,B6_2_7,B6_2_8,B6_2_9,B6_2_10,B6_2_11,B6_2_12,B6_2_13,B6_2_14,B6_2_15,B6_2_16,B6_2_17,B6_2_18,B6_2_19,B6_2_20,B6_2_21,B6_2_22,B6_2_23,B6_2_24,B6_2_25,B6_3_1,B6_3_2,B6_3_3,B6_3_4,B6_3_5,B6_3_6,B6_3_7,B6_3_8,B6_3_9,B6_3_10,B6_3_11,B6_3_12,B6_3_13,B6_3_14,B6_3_15,B6_3_16,B6_3_17,B6_3_18,B6_3_19,B6_3_20,B6_3_21,B6_3_22,B6_3_23,B6_3_24,B6_3_25,B6_4_1,B6_4_2,B6_4_3,B6_4_4,B6_4_5,B6_4_6,B6_4_7,B6_4_8,B6_4_9,B6_4_10,B6_4_11,B6_4_12,B6_4_13,B6_4_14,B6_4_15,B6_4_16,B6_4_17,B6_4_18,B6_4_19,B6_4_20,B6_4_21,B6_4_22,B6_4_23,B6_4_24,B6_4_25,B6_5_1,B6_5_2,B6_5_3,B6_5_4,B6_5_5,B6_5_6,B6_5_7,B6_5_8,B6_5_9,B6_5_10,B6_5_11,B6_5_12,B6_5_13,B6_5_14,B6_5_15,B6_5_16,B6_5_17,B6_5_18,B6_5_19,B6_5_20,B6_5_21,B6_5_22,B6_5_23,B6_5_24,B6_5_25,B6_6_1,B6_6_2,B6_6_3,B6_6_4,B6_6_5,B6_6_6,B6_6_7,B6_6_8,B6_6_9,B6_6_10,B6_6_11,B6_6_12,B6_6_13,B6_6_14,B6_6_15,B6_6_16,B6_6_17,B6_6_18,B6_6_19,B6_6_20,B6_6_21,B6_6_22,B6_6_23,B6_6_24,B6_6_25,B6_7_1,B6_7_2,B6_7_3,B6_7_4,B6_7_5,B6_7_6,B6_7_7,B6_7_8,B6_7_9,B6_7_10,B6_7_11,B6_7_12,B6_7_13,B6_7_14,B6_7_15,B6_7_16,B6_7_17,B6_7_18,B6_7_19,B6_7_20,B6_7_21,B6_7_22,B6_7_23,B6_7_24,B6_7_25,B6_8_1,B6_8_2,B6_8_3,B6_8_4,B6_8_5,B6_8_6,B6_8_7,B6_8_8,B6_8_9,B6_8_10,B6_8_11,B6_8_12,B6_8_13,B6_8_14,B6_8_15,B6_8_16,B6_8_17,B6_8_18,B6_8_19,B6_8_20,B6_8_21,B6_8_22,B6_8_23,B6_8_24,B6_8_25,B6_9_1,B6_9_2,B6_9_3,B6_9_4,B6_9_5,B6_9_6,B6_9_7,B6_9_8,B6_9_9,B6_9_10,B6_9_11,B6_9_12,B6_9_13,B6_9_14,B6_9_15,B6_9_16,B6_9_17,B6_9_18,B6_9_19,B6_9_20,B6_9_21,B6_9_22,B6_9_23,B6_9_24,B6_9_25,B6_10_1,B6_10_2,B6_10_3,B6_10_4,B6_10_5,B6_10_6,B6_10_7,B6_10_8,B6_10_9,B6_10_10,B6_10_11,B6_10_12,B6_10_13,B6_10_14,B6_10_15,B6_10_16,B6_10_17,B6_10_18,B6_10_19,B6_10_20,B6_10_21,B6_10_22,B6_10_23,B6_10_24,B6_10_25,B6_11_1,B6_11_2,B6_11_3,B6_11_4,B6_11_5,B6_11_6,B6_11_7,B6_11_8,B6_11_9,B6_11_10,B6_11_11,B6_11_12,B6_11_13,B6_11_14,B6_11_15,B6_11_16,B6_11_17,B6_11_18,B6_11_19,B6_11_20,B6_11_21,B6_11_22,B6_11_23,B6_11_24,B6_11_25
17302,.716237113,1,156,66296640,2,AAS01,AAS01,1,1,1,1,1,2,2,2,2,1,1,2,2,6,6,1990,8,4,4,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,1,1,1, ,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,0,2,2,1, ,2,2,3,百度天气,腾讯天气, , , ,百度天气,腾讯/QQ系列天气, , ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1, ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1, ,YYYYYY,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0, ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,1, , , , ,1, , , ,1, , , ,1, ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, ,1, ,1, ,1,1,1, , ,1,1, ,1, , , , , ,1, , , ,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , ,1, , , ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17310,.773589744,1,156,66296678,1,AAR01,AAR01,2,2,1,2,2,3,3,2,2,1,1,7,7,8,8,1985,5,5,5,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,0,1, ,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,0,1,0,0,0,2,2,1, ,2,2,2,墨迹天气,天气通, , ,YY,墨迹天气,天气通, , ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,YYY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , ,1, , , , , , , , , ,1, , ,1,1,1, , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , ,1,1, , , , , ,1,1, , , ,1, ,1, ,1, , ,1, ,1, , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17315,.96975,1,156,66296705,2,AAQ01,AAQ01,2,2,1,2,2,3,3,3,3,1,1,9,9,11,11,1992,11,3,3,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,1,1, ,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,0,2,2,1, ,2,2,3,墨迹天气,2345天气预报, , ,YYY,墨迹天气,2345天气王, , ,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0, ,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0, ,YYYYYYYY,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,17,1,1,1, , , , ,1,1, , ,1,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1, , , ,1,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1,1, , ,1,1,1, , ,1, , , , , , ,1, , ,1,1,1, ,1,1,1,1, , , ,1,1,1, ,1,1, , , , , , ,1, , ,1, , ,1, , , , , , , ,1,1, ,1, , , , , , , ,1, , , ,1, 
17321,.773589744,1,156,66296736,1,AAM01,AAM01,2,2,1,2,2,4,4,2,2,1,1,6,6,5,5,1990,5,4,4,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,1,1, ,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,0,1,0,1,0,2,2,1, ,2,2,3,墨迹天气,即刻, , ,YY,墨迹天气,即刻天气, , ,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0, ,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0, ,YYYYYYYY,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,1, ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , ,1, , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
17322,.998044693,1,156,66296739,1,AAI01,AAI01,1,1,1,1,1,4,4,1,1,1,1,1,1, , ,1993,3,3,3,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,1,1, ,2,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,1,0,1,1,1,0,1,0,0,0,2,2,1, ,2,2,2,天气通,墨迹天气,天气预报, ,YYY,天气通,墨迹天气,天气预报/爱尚天气, ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0, ,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0, ,YYYYY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,18,1, , , ,1, ,1,1,1, , , , , , , , , , ,1, ,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1,1,1, , , , ,1,1,1,1, , , , , ,1, ,1, ,1, , ,1, ,1,1, , ,1, ,1, ,1, , ,1, , , , , , ,1,1,1,1,1, , ,1, ,1, ,1, ,1, , , , , , , , , ,1, , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, ,1, ,1, ,1, , , , ,1,1,1,1, ,1, , , ,1, , , , ,1,1,1, ,1,1,1, , , , , ,1, ,1, , ,1,1, , , , ,1, ,1, , ,1,1, , , , , ,1, ,1,1, , , , , , , ,1, , , , ,1,1,1, ,1,1, , , , , ,1,1,1,1, , ,1, , ,1,1,1, ,1, ,1,1,1, , ,1, , , , ,1,1,1, , , 
17326,.96975,1,156,66296754,2,AAW01,AAW01,2,2,1,2,2,6,6,3,3,1,1,8,8,9,9,1994,8,3,3,2,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,0,1,1,1, ,2,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,0,1,0,2,2,1, ,2,2,1,vivo天气,天气通, , ,YY,VIVO自带天气软件,天气通, , ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1, ,YYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17333,3.308333333,1,156,66296790,2,AAS01,AAS01,1,1,1,1,1,2,2,2,2,1,1,2,2,6,6,1980,5,6,6,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,1,1, ,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,0,2,2,1, ,2,2,2,天气预报,墨迹天气,中央天气预报,华为自带天气软件,YYYY,天气预报/爱尚天气,墨迹天气,中央天气预报,华为自带天气软件,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0, ,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0, ,YYYYYY,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0, ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,5, , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, ,1, , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, ,1, , , , , , , , , , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17334,.998044693,1,156,66296793,2,AAA01,AAA01,1,1,1,1,1,1,1,4,4,1,1,3,3, , ,1992,9,3,3,2,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,0,1,1, ,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,1,1,0,0,1,0,0,0,0,0,2,2,1, ,2,2,1,墨迹天气,自带天气, , ,Y,墨迹天气,其他手机自带天气app, , ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,YY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, ,19, , ,1, , , , , ,1, ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17342,.6,1,156,66296833,1,AAC01,AAC04,3,3,1,3,3,1,1,4,4,1,1, , ,16,16,1978,4,6,6,1,0,0,0,0,0,0,0,1,2,2,2,1,1,0,1,1,0,1,1, ,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,1,0,1,1,1,0,2,2,1, ,2,2,3,天气通,天气预报, , ,YY,天气通,天气预报/爱尚天气, , ,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0, ,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0, ,YYYY,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,3, ,1,1, , , , ,1,1,1, ,1, , , , , , , ,1, , ,1, , ,1,1, , , ,1, ,1,1, , ,1, , , , , , , , , , ,1, , , ,1,1, , ,1,1,1,1,1, ,1,1, , , , , ,1, , ,1,1, , , , ,1, , , , , ,1, , ,1, , , , , , , , , , ,1,1, , ,1, , , , , , ,1, , ,1,1, , , , , , ,1,1, ,1,1, ,1,1,1, , ,1,1,1,1,1, ,1, ,1,1, , , ,1,1, ,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1,1,1, ,1, , , , , , ,1, , , , , , ,1, ,1, , ,1, ,1,1,1, ,1,1, , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17344,.773589744,1,156,66296836,2,AAQ01,AAQ01,2,2,1,2,2,3,3,3,3,1,1,9,9,11,11,1987,5,4,4,2,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,0,1, ,2,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,0,1,1,1,0,2,2,1, ,2,2,3,墨迹天气,中国天气, , ,YY,墨迹天气,中国天气, , ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,YYY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, ,2, , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, ,1, ,1, , , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , 
17345,.947755102,1,156,66296837,2,AAW01,AAW11,3,3,1,3,3,6,6,3,3,1,1, , ,9,9,1992,11,3,3,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,1,1, ,2,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,0,1,1,1,1,0,2,2,1, ,2,2,3,无,无,无,无, ,无/记不清,无/记不清,无/记不清, ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0, ,YYY,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0, ,19, ,1, , , , , , , , , ,1, ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , ,1,1, ,1, ,1, , , ,1, ,1, , , , ,1, , , , , , , , ,1, , 
17346,.716237113,1,156,66296840,1,AAI01,AAI01,1,1,2,1,1,4,4,1,1,1,1,1,1, , ,1981,8,5,5,1,0,0,0,0,0,0,0,1,2,2,2,1,1,0,0,1,0,1,1, ,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,1,0,1,1,1,0,2,2,1, ,2,2,2,墨迹,好天气, , ,Y,墨迹天气,其他, , ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,YYY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, ,18,1,1, , , , , ,1,1, , , , , ,1, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , ,1, , ,1,1, ,1, , , ,1, , , , ,1, ,1, , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1, , , , ,1, ,1,1,1,1, ,1, , , , ,1,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1, , , ,1,1,1,1,1, , ,1, , , ,1,1,1,1,1,1, ,1,1, , , , , ,1,1,1, , ,1, , , , , , ,1, , , ,1, ,1,1,1,1,1, , , ,1, , ,1,1, ,1, , , , ,1,1, ,1,1, 
17347,.716237113,1,156,66296847,2,AAA01,AAA01,1,1,1,1,1,1,1,4,4,1,1,3,3, , ,1990,6,4,4,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,0,1,1, ,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,0,0,2,2,1, ,2,2,2,2345天气,墨迹天气,潮汐天气,手机自带,YY,2345天气王,墨迹天气,其他,其他手机自带天气app,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0, ,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0, ,YYYYYY,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0, ,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0, ,7,1,1, , ,1, , , , , , ,1, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , ,1, , ,1,1,1, , , , , , , , , ,1, , , , , , , , , , , , ,1,1, , , , , , , , , ,1,1, , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , ,1, , , ,1,1, , , , , , , ,1, ,1,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , , ,1, , , , , ,1, , , , ,1, , , , , , , , , ,1,1, , , ,1, ,1, , , , , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
17350,.773589744,1,156,66296864,1,AAJ01,AAJ01,2,2,1,2,2,4,4,1,1,1,1,4,4,3,3,1982,7,5,5,1,0,0,0,0,0,0,0,1,2,2,2,1,1,0,1,0,0,1,1, ,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,0,0,1,1,1,0,0,2,2,1, ,2,2,2,简单天气,实时天气,墨迹天气,央视天气,YY,简单天气,实况天气预报,墨迹天气,中央天气预报,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0, ,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0, ,YYYYY,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0, ,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0, ,14,1, ,1,1, , , , , ,1, ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , ,1, ,1, , , , , , , , , , ,1,1, ,1,1, ,1, , , ,1, , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
17351,1.05,1,156,66296868,2,AAW01,AAW01,2,2,2,4,4,6,6,3,3,1,1,8,8,9,9,1983,3,5,5,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,1,1,1, ,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,1,1,1,1,1,1,1,1,1,0,2,2,1, ,2,2,3,墨迹天气,华为手机天气软件, , ,YY,墨迹天气,华为自带天气软件, , ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0, ,YYY,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0, ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, ,2, , , , , ,1, , , , , ,1, , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1, , ,1, , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , , , , , , , ,1, , , , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , 
